"","LOCATION","TIME","Value.x","Value.y"
"1","AUS","2015",47351.047292,95
"2","AUS","2016",50309.405732,95
"3","AUS","2017",51235.994585,95
"4","AUT","2015",49955.456118,96
"5","AUT","2016",52614.377745,95
"6","AUT","2017",54652.468293,96
"7","AUT","2018",56889.351557,95
"8","BEL","2015",46213.262388,96
"9","BEL","2016",48624.98197,96
"10","BEL","2017",50771.438367,96
"11","BEL","2018",52282.099049,96
"12","CAN","2015",44671.409504,90
"13","CAN","2016",46480.50132,90
"14","CAN","2017",48637.899591,89
"15","CAN","2018",50076.312436,90
"16","CHE","2015",63938.958241,94
"17","CHE","2016",65720.161893,94
"18","CHE","2017",67139.04087,95
"19","CHL","2015",22593.272962,96
"20","CHL","2016",22615.767043,93
"21","CHL","2017",23657.208791,93
"22","CHL","2018",24709.122527,93
"23","CHN","2015",14419.244821,99
"24","CHN","2016",15467.890286,99
"25","CHN","2017",16737.719358,99
"26","COL","2015",13807.774796,94
"27","COL","2016",14091.026182,93
"28","COL","2017",14392.318578,93
"29","CRI","2015",15669.546565,93
"30","CRI","2016",16316.463656,93
"31","CRI","2017",16993.869787,96
"32","CRI","2018",17639.853441,94
"33","CZE","2015",33701.384,99
"34","CZE","2016",35880.287434,98
"35","CZE","2017",38507.349496,97
"36","CZE","2018",40402.65213,96
"37","DEU","2015",47683.547301,97
"38","DEU","2016",50564.049275,97
"39","DEU","2017",53011.742456,97
"40","DNK","2015",49071.304706,91
"41","DNK","2016",51961.77129,94
"42","DNK","2017",55045.621474,97
"43","DNK","2018",57214.807946,95
"44","ESP","2015",34938.581464,96
"45","ESP","2016",37309.865924,97
"46","ESP","2017",39626.846666,97
"47","ESP","2018",40542.184587,97
"48","EST","2015",29444.318328,93
"49","EST","2016",31228.858877,93
"50","EST","2017",33866.759766,93
"51","EST","2018",36437.352038,87
"52","FIN","2015",42527.950728,95
"53","FIN","2016",44922.92647,95
"54","FIN","2017",47470.635988,96
"55","FIN","2018",49543.328022,96
"56","FRA","2015",40840.848298,91
"57","FRA","2016",42853.539363,90
"58","FRA","2017",44651.364447,90
"59","GBR","2015",42522.183841,93
"60","GBR","2016",44138.043208,92
"61","GBR","2017",45987.961004,92
"62","GBR","2018",46885.061194,92
"63","GRC","2015",26902.327613,97
"64","GRC","2016",27823.314892,97
"65","GRC","2017",29088.947934,97
"66","GRC","2018",30354.303326,97
"67","HUN","2015",26668.040855,99
"68","HUN","2016",27699.630853,99
"69","HUN","2017",29529.309338,99
"70","HUN","2018",31578.759892,99
"71","IDN","2015",11189.583544,87
"72","IDN","2016",11732.330723,88
"73","IDN","2017",12408.355302,90
"74","IND","2015",6260.1356,87
"75","IND","2016",6717.282686,88
"76","IRL","2015",69147.029059,93
"77","IRL","2016",72017.755243,92
"78","IRL","2017",78211.410456,92
"79","IRL","2018",84575.437304,92
"80","ISL","2015",48856.560901,93
"81","ISL","2016",53031.605301,91
"82","ISL","2017",55491.631297,92
"83","ISL","2018",58255.624818,93
"84","ISR","2015",35449.501075,98
"85","ISR","2016",37855.603781,97
"86","ISR","2017",38982.658321,98
"87","ITA","2015",36909.296843,85
"88","ITA","2016",39918.302413,85
"89","ITA","2017",41784.820332,92
"90","ITA","2018",42798.088131,93
"91","JPN","2015",40406.095333,96
"92","JPN","2016",40023.592457,96
"93","JPN","2017",40826.53582,99
"94","JPN","2018",41501.552798,97
"95","KOR","2015",37907.460937,98
"96","KOR","2016",39566.864428,98
"97","KOR","2017",41000.995844,97
"98","KOR","2018",42135.780723,98
"99","LTU","2015",28823.805581,94
"100","LTU","2016",30924.899739,94
"101","LTU","2017",33821.206283,94
"102","LTU","2018",35831.865191,92
"103","LUX","2015",103787.967646,99
"104","LUX","2016",110249.797049,99
"105","LUX","2017",112701.659716,99
"106","LVA","2015",24833.612206,96
"107","LVA","2016",26407.216397,93
"108","LVA","2017",28504.870548,96
"109","LVA","2018",30759.542917,98
"110","MEX","2015",18438.044081,99
"111","MEX","2016",19506.640994,97
"112","MEX","2017",20022.661214,76
"113","MEX","2018",20659.867277,97
