"","LOCATION","TIME","Value"
"1","AUS","2015",47351.047292
"2","AUS","2016",50309.405732
"3","AUS","2017",51235.994585
"4","AUS","2018",53662.954518
"5","AUT","2015",49955.456118
"6","AUT","2016",52614.377745
"7","AUT","2017",54652.468293
"8","AUT","2018",56889.351557
"9","BEL","2015",46213.262388
"10","BEL","2016",48624.98197
"11","BEL","2017",50771.438367
"12","BEL","2018",52282.099049
"13","CAN","2015",44671.409504
"14","CAN","2016",46480.50132
"15","CAN","2017",48637.899591
"16","CAN","2018",50076.312436
"17","CZE","2015",33701.384
"18","CZE","2016",35880.287434
"19","CZE","2017",38507.349496
"20","CZE","2018",40402.65213
"21","DNK","2015",49071.304706
"22","DNK","2016",51961.77129
"23","DNK","2017",55045.621474
"24","DNK","2018",57214.807946
"25","FIN","2015",42527.950728
"26","FIN","2016",44922.92647
"27","FIN","2017",47470.635988
"28","FIN","2018",49543.328022
"29","FRA","2015",40840.848298
"30","FRA","2016",42853.539363
"31","FRA","2017",44651.364447
"32","FRA","2018",46242.462474
"33","DEU","2015",47683.547301
"34","DEU","2016",50564.049275
"35","DEU","2017",53011.742456
"36","DEU","2018",54456.783931
"37","GRC","2015",26902.327613
"38","GRC","2016",27823.314892
"39","GRC","2017",29088.947934
"40","GRC","2018",30354.303326
"41","HUN","2015",26668.040855
"42","HUN","2016",27699.630853
"43","HUN","2017",29529.309338
"44","HUN","2018",31578.759892
"45","ISL","2015",48856.560901
"46","ISL","2016",53031.605301
"47","ISL","2017",55491.631297
"48","ISL","2018",58255.624818
"49","IRL","2015",69147.029059
"50","IRL","2016",72017.755243
"51","IRL","2017",78211.410456
"52","IRL","2018",84575.437304
"53","ITA","2015",36909.296843
"54","ITA","2016",39918.302413
"55","ITA","2017",41784.820332
"56","ITA","2018",42798.088131
"57","JPN","2015",40406.095333
"58","JPN","2016",40023.592457
"59","JPN","2017",40826.53582
"60","JPN","2018",41501.552798
"61","KOR","2015",37907.460937
"62","KOR","2016",39566.864428
"63","KOR","2017",41000.995844
"64","KOR","2018",42135.780723
"65","LUX","2015",103787.967646
"66","LUX","2016",110249.797049
"67","LUX","2017",112701.659716
"68","LUX","2018",116622.236253
"69","MEX","2015",18438.044081
"70","MEX","2016",19506.640994
"71","MEX","2017",20022.661214
"72","MEX","2018",20659.867277
"73","NLD","2015",50301.845624
"74","NLD","2016",52284.122623
"75","NLD","2017",55348.891835
"76","NLD","2018",57563.957867
"77","NZL","2015",37158.228941
"78","NZL","2016",39566.365389
"79","NZL","2017",40600.567624
"80","NZL","2018",41491.010258
"81","NOR","2015",60357.280505
"82","NOR","2016",58917.28833
"83","NOR","2017",62940.203039
"84","NOR","2018",67613.655116
"85","POL","2015",26529.036797
"86","POL","2016",27947.390312
"87","POL","2017",29801.809392
"88","POL","2018",31393.471089
"89","PRT","2015",29668.804155
"90","PRT","2016",31604.417531
"91","PRT","2017",33086.07203
"92","PRT","2018",34272.09358
"93","SVK","2015",29932.196336
"94","SVK","2016",29651.534784
"95","SVK","2017",30910.718734
"96","SVK","2018",32621.221032
"97","ESP","2015",34938.581464
"98","ESP","2016",37309.865924
"99","ESP","2017",39626.846666
"100","ESP","2018",40542.184587
"101","SWE","2015",48974.93343
"102","SWE","2016",50433.852154
"103","SWE","2017",52692.844717
"104","SWE","2018",53807.866963
"105","CHE","2015",63938.958241
"106","CHE","2016",65720.161893
"107","CHE","2017",67139.04087
"108","CHE","2018",69357.504185
"109","TUR","2015",25727.604649
"110","TUR","2016",26509.937205
"111","TUR","2017",28208.552414
"112","TUR","2018",28454.631556
"113","GBR","2015",42522.183841
"114","GBR","2016",44138.043208
"115","GBR","2017",45987.961004
"116","GBR","2018",46885.061194
"117","USA","2015",56770.417349
"118","USA","2016",57884.491072
"119","USA","2017",59984.093912
"120","USA","2018",62852.658229
"121","CHL","2015",22593.272962
"122","CHL","2016",22615.767043
"123","CHL","2017",23657.208791
"124","CHL","2018",24709.122527
"125","CHN","2015",14419.244821
"126","CHN","2016",15467.890286
"127","CHN","2017",16737.719358
"128","COL","2015",13807.774796
"129","COL","2016",14091.026182
"130","COL","2017",14392.318578
"131","EST","2015",29444.318328
"132","EST","2016",31228.858877
"133","EST","2017",33866.759766
"134","EST","2018",36437.352038
"135","IND","2015",6260.1356
"136","IND","2016",6717.282686
"137","IDN","2015",11189.583544
"138","IDN","2016",11732.330723
"139","IDN","2017",12408.355302
"140","ISR","2015",35449.501075
"141","ISR","2016",37855.603781
"142","ISR","2017",38982.658321
"143","ISR","2018",40269.498744
"144","RUS","2015",24061.099218
"145","RUS","2016",24237.580018
"146","RUS","2017",26079.077239
"147","RUS","2018",28556.986394
"148","SVN","2015",31640.32549
"149","SVN","2016",33875.006579
"150","SVN","2017",36660.871569
"151","SVN","2018",38785.508635
"152","ZAF","2015",13344.636344
"153","ZAF","2016",13386.682735
"154","ZAF","2017",13578.139445
"167","LVA","2015",24833.612206
"168","LVA","2016",26407.216397
"169","LVA","2017",28504.870548
"170","LVA","2018",30759.542917
"174","LTU","2015",28823.805581
"175","LTU","2016",30924.899739
"176","LTU","2017",33821.206283
"177","LTU","2018",35831.865191
"187","CRI","2015",15669.546565
"188","CRI","2016",16316.463656
"189","CRI","2017",16993.869787
"190","CRI","2018",17639.853441
