"","LOCATION","TIME","Value"
"1","AUS","2015",95
"2","AUS","2016",95
"3","AUS","2017",95
"4","AUT","2015",96
"5","AUT","2016",95
"6","AUT","2017",96
"7","AUT","2018",95
"8","BEL","2015",96
"9","BEL","2016",96
"10","BEL","2017",96
"11","BEL","2018",96
"12","CAN","2015",90
"13","CAN","2016",90
"14","CAN","2017",89
"15","CAN","2018",90
"16","CZE","2015",99
"17","CZE","2016",98
"18","CZE","2017",97
"19","CZE","2018",96
"20","DNK","2015",91
"21","DNK","2016",94
"22","DNK","2017",97
"23","DNK","2018",95
"24","FIN","2015",95
"25","FIN","2016",95
"26","FIN","2017",96
"27","FIN","2018",96
"28","FRA","2015",91
"29","FRA","2016",90
"30","FRA","2017",90
"31","DEU","2015",97
"32","DEU","2016",97
"33","DEU","2017",97
"34","GRC","2015",97
"35","GRC","2016",97
"36","GRC","2017",97
"37","GRC","2018",97
"38","HUN","2015",99
"39","HUN","2016",99
"40","HUN","2017",99
"41","HUN","2018",99
"42","ISL","2015",93
"43","ISL","2016",91
"44","ISL","2017",92
"45","ISL","2018",93
"46","IRL","2015",93
"47","IRL","2016",92
"48","IRL","2017",92
"49","IRL","2018",92
"50","ITA","2015",85
"51","ITA","2016",85
"52","ITA","2017",92
"53","ITA","2018",93
"54","JPN","2015",96
"55","JPN","2016",96
"56","JPN","2017",99
"57","JPN","2018",97
"58","KOR","2015",98
"59","KOR","2016",98
"60","KOR","2017",97
"61","KOR","2018",98
"62","LUX","2015",99
"63","LUX","2016",99
"64","LUX","2017",99
"65","MEX","2015",99
"66","MEX","2016",97
"67","MEX","2017",76
"68","MEX","2018",97
"69","NLD","2015",95
"70","NLD","2016",94
"71","NLD","2017",93
"72","NLD","2018",93
"73","NZL","2015",93
"74","NZL","2016",92
"75","NZL","2017",93
"76","NZL","2018",92
"77","NOR","2015",95
"78","NOR","2016",96
"79","NOR","2017",96
"80","NOR","2018",96
"81","POL","2015",96
"82","POL","2016",96
"83","POL","2017",94
"84","POL","2018",93
"85","PRT","2015",98
"86","PRT","2016",98
"87","PRT","2017",98
"88","PRT","2018",99
"89","SVK","2015",95
"90","SVK","2016",95
"91","SVK","2017",96
"92","SVK","2018",96
"93","ESP","2015",96
"94","ESP","2016",97
"95","ESP","2017",97
"96","ESP","2018",97
"97","SWE","2015",98
"98","SWE","2016",97
"99","SWE","2017",97
"100","SWE","2018",97
"101","CHE","2015",94
"102","CHE","2016",94
"103","CHE","2017",95
"104","TUR","2015",97
"105","TUR","2016",98
"106","TUR","2017",96
"107","GBR","2015",93
"108","GBR","2016",92
"109","GBR","2017",92
"110","GBR","2018",92
"111","USA","2015",92
"112","USA","2016",92
"113","USA","2017",92
"114","USA","2018",92
"119","CHL","2015",96
"120","CHL","2016",93
"121","CHL","2017",93
"122","CHL","2018",93
"123","CHN","2015",99
"124","CHN","2016",99
"125","CHN","2017",99
"126","CHN","2018",99
"127","EST","2015",93
"128","EST","2016",93
"129","EST","2017",93
"130","EST","2018",87
"131","IND","2015",87
"132","IND","2016",88
"133","IND","2017",90
"134","IND","2018",84
"135","IDN","2015",87
"136","IDN","2016",88
"137","IDN","2017",90
"138","IDN","2018",78
"139","ISR","2015",98
"140","ISR","2016",97
"141","ISR","2017",98
"142","RUS","2015",98
"143","RUS","2016",98
"144","RUS","2017",98
"145","RUS","2018",98
"146","SVN","2015",94
"147","SVN","2016",92
"148","SVN","2017",93
"149","SVN","2018",93
"150","ZAF","2015",97
"151","ZAF","2016",96
"152","ZAF","2017",81
"153","ZAF","2018",81
"154","COL","2015",94
"155","COL","2016",93
"156","COL","2017",93
"157","CRI","2015",93
"158","CRI","2016",93
"159","CRI","2017",96
"160","CRI","2018",94
"161","LVA","2015",96
"162","LVA","2016",93
"163","LVA","2017",96
"164","LVA","2018",98
"165","LTU","2015",94
"166","LTU","2016",94
"167","LTU","2017",94
"168","LTU","2018",92
