LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,CHILDVACCIN,DTP,PC_CHILD,A,2015,93,
AUS,CHILDVACCIN,DTP,PC_CHILD,A,2016,94,
AUS,CHILDVACCIN,DTP,PC_CHILD,A,2017,95,
AUS,CHILDVACCIN,DTP,PC_CHILD,A,2018,95,
AUS,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,95,
AUS,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,95,E
AUS,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,95,E
AUT,CHILDVACCIN,DTP,PC_CHILD,A,2015,98,E
AUT,CHILDVACCIN,DTP,PC_CHILD,A,2016,87,
AUT,CHILDVACCIN,DTP,PC_CHILD,A,2017,90,
AUT,CHILDVACCIN,DTP,PC_CHILD,A,2018,82,
AUT,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,96,E
AUT,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,95,
AUT,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,96,
AUT,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,95,
BEL,CHILDVACCIN,DTP,PC_CHILD,A,2015,99,
BEL,CHILDVACCIN,DTP,PC_CHILD,A,2016,98,
BEL,CHILDVACCIN,DTP,PC_CHILD,A,2017,98,
BEL,CHILDVACCIN,DTP,PC_CHILD,A,2018,98,
BEL,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,96,
BEL,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,96,
BEL,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,96,
BEL,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,96,
CAN,CHILDVACCIN,DTP,PC_CHILD,A,2015,91,
CAN,CHILDVACCIN,DTP,PC_CHILD,A,2016,91,
CAN,CHILDVACCIN,DTP,PC_CHILD,A,2017,91,E
CAN,CHILDVACCIN,DTP,PC_CHILD,A,2018,91,
CAN,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,90,
CAN,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,90,
CAN,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,89,
CAN,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,90,
CZE,CHILDVACCIN,DTP,PC_CHILD,A,2015,99,E
CZE,CHILDVACCIN,DTP,PC_CHILD,A,2016,96,
CZE,CHILDVACCIN,DTP,PC_CHILD,A,2017,96,E
CZE,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,99,E
CZE,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,98,
CZE,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,97,
CZE,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,96,
DNK,CHILDVACCIN,DTP,PC_CHILD,A,2015,93,
DNK,CHILDVACCIN,DTP,PC_CHILD,A,2016,94,
DNK,CHILDVACCIN,DTP,PC_CHILD,A,2017,98,
DNK,CHILDVACCIN,DTP,PC_CHILD,A,2018,97,
DNK,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,91,
DNK,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,94,
DNK,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,97,
DNK,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,95,
FIN,CHILDVACCIN,DTP,PC_CHILD,A,2015,97,
FIN,CHILDVACCIN,DTP,PC_CHILD,A,2016,92,
FIN,CHILDVACCIN,DTP,PC_CHILD,A,2017,99,E
FIN,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,95,
FIN,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,95,
FIN,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,96,
FIN,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,96,
FRA,CHILDVACCIN,DTP,PC_CHILD,A,2015,97,
FRA,CHILDVACCIN,DTP,PC_CHILD,A,2016,96,
FRA,CHILDVACCIN,DTP,PC_CHILD,A,2017,96,
FRA,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,91,
FRA,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,90,
FRA,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,90,
DEU,CHILDVACCIN,DTP,PC_CHILD,A,2015,96,E
DEU,CHILDVACCIN,DTP,PC_CHILD,A,2016,95,E
DEU,CHILDVACCIN,DTP,PC_CHILD,A,2017,95,E
DEU,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,97,
DEU,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,97,
DEU,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,97,
GRC,CHILDVACCIN,DTP,PC_CHILD,A,2015,99,
GRC,CHILDVACCIN,DTP,PC_CHILD,A,2016,99,
GRC,CHILDVACCIN,DTP,PC_CHILD,A,2017,99,
GRC,CHILDVACCIN,DTP,PC_CHILD,A,2018,99,
GRC,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,97,
GRC,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,97,
GRC,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,97,
GRC,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,97,
HUN,CHILDVACCIN,DTP,PC_CHILD,A,2015,99,
HUN,CHILDVACCIN,DTP,PC_CHILD,A,2016,99,
HUN,CHILDVACCIN,DTP,PC_CHILD,A,2017,99,
HUN,CHILDVACCIN,DTP,PC_CHILD,A,2018,99,
HUN,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,99,
HUN,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,99,
HUN,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,99,
HUN,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,99,
ISL,CHILDVACCIN,DTP,PC_CHILD,A,2015,92,
ISL,CHILDVACCIN,DTP,PC_CHILD,A,2016,91,
ISL,CHILDVACCIN,DTP,PC_CHILD,A,2017,89,
ISL,CHILDVACCIN,DTP,PC_CHILD,A,2018,91,
ISL,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,93,
ISL,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,91,
ISL,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,92,
ISL,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,93,
IRL,CHILDVACCIN,DTP,PC_CHILD,A,2015,95,
IRL,CHILDVACCIN,DTP,PC_CHILD,A,2016,95,
IRL,CHILDVACCIN,DTP,PC_CHILD,A,2017,95,
IRL,CHILDVACCIN,DTP,PC_CHILD,A,2018,95,
IRL,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,93,
IRL,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,92,
