"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2015",47351.047292,
"AUS","GDP","TOT","USD_CAP","A","2016",50309.405732,
"AUS","GDP","TOT","USD_CAP","A","2017",51235.994585,
"AUS","GDP","TOT","USD_CAP","A","2018",53662.954518,"E"
"AUT","GDP","TOT","USD_CAP","A","2015",49955.456118,
"AUT","GDP","TOT","USD_CAP","A","2016",52614.377745,
"AUT","GDP","TOT","USD_CAP","A","2017",54652.468293,
"AUT","GDP","TOT","USD_CAP","A","2018",56889.351557,
"BEL","GDP","TOT","USD_CAP","A","2015",46213.262388,
"BEL","GDP","TOT","USD_CAP","A","2016",48624.98197,
"BEL","GDP","TOT","USD_CAP","A","2017",50771.438367,
"BEL","GDP","TOT","USD_CAP","A","2018",52282.099049,
"CAN","GDP","TOT","USD_CAP","A","2015",44671.409504,
"CAN","GDP","TOT","USD_CAP","A","2016",46480.50132,
"CAN","GDP","TOT","USD_CAP","A","2017",48637.899591,
"CAN","GDP","TOT","USD_CAP","A","2018",50076.312436,
"CZE","GDP","TOT","USD_CAP","A","2015",33701.384,
"CZE","GDP","TOT","USD_CAP","A","2016",35880.287434,
"CZE","GDP","TOT","USD_CAP","A","2017",38507.349496,
"CZE","GDP","TOT","USD_CAP","A","2018",40402.65213,
"DNK","GDP","TOT","USD_CAP","A","2015",49071.304706,
"DNK","GDP","TOT","USD_CAP","A","2016",51961.77129,
"DNK","GDP","TOT","USD_CAP","A","2017",55045.621474,
"DNK","GDP","TOT","USD_CAP","A","2018",57214.807946,
"FIN","GDP","TOT","USD_CAP","A","2015",42527.950728,
"FIN","GDP","TOT","USD_CAP","A","2016",44922.92647,
"FIN","GDP","TOT","USD_CAP","A","2017",47470.635988,
"FIN","GDP","TOT","USD_CAP","A","2018",49543.328022,
"FRA","GDP","TOT","USD_CAP","A","2015",40840.848298,
"FRA","GDP","TOT","USD_CAP","A","2016",42853.539363,
"FRA","GDP","TOT","USD_CAP","A","2017",44651.364447,"P"
"FRA","GDP","TOT","USD_CAP","A","2018",46242.462474,"P"
"DEU","GDP","TOT","USD_CAP","A","2015",47683.547301,
"DEU","GDP","TOT","USD_CAP","A","2016",50564.049275,
"DEU","GDP","TOT","USD_CAP","A","2017",53011.742456,
"DEU","GDP","TOT","USD_CAP","A","2018",54456.783931,
"GRC","GDP","TOT","USD_CAP","A","2015",26902.327613,"P"
"GRC","GDP","TOT","USD_CAP","A","2016",27823.314892,"P"
"GRC","GDP","TOT","USD_CAP","A","2017",29088.947934,"P"
"GRC","GDP","TOT","USD_CAP","A","2018",30354.303326,"P"
"HUN","GDP","TOT","USD_CAP","A","2015",26668.040855,
"HUN","GDP","TOT","USD_CAP","A","2016",27699.630853,
"HUN","GDP","TOT","USD_CAP","A","2017",29529.309338,
"HUN","GDP","TOT","USD_CAP","A","2018",31578.759892,
"ISL","GDP","TOT","USD_CAP","A","2015",48856.560901,
"ISL","GDP","TOT","USD_CAP","A","2016",53031.605301,
"ISL","GDP","TOT","USD_CAP","A","2017",55491.631297,
"ISL","GDP","TOT","USD_CAP","A","2018",58255.624818,
"IRL","GDP","TOT","USD_CAP","A","2015",69147.029059,
"IRL","GDP","TOT","USD_CAP","A","2016",72017.755243,
"IRL","GDP","TOT","USD_CAP","A","2017",78211.410456,
"IRL","GDP","TOT","USD_CAP","A","2018",84575.437304,
"ITA","GDP","TOT","USD_CAP","A","2015",36909.296843,
"ITA","GDP","TOT","USD_CAP","A","2016",39918.302413,
"ITA","GDP","TOT","USD_CAP","A","2017",41784.820332,
"ITA","GDP","TOT","USD_CAP","A","2018",42798.088131,
"JPN","GDP","TOT","USD_CAP","A","2015",40406.095333,
"JPN","GDP","TOT","USD_CAP","A","2016",40023.592457,
"JPN","GDP","TOT","USD_CAP","A","2017",40826.53582,
"JPN","GDP","TOT","USD_CAP","A","2018",41501.552798,"E"
"KOR","GDP","TOT","USD_CAP","A","2015",37907.460937,
"KOR","GDP","TOT","USD_CAP","A","2016",39566.864428,
"KOR","GDP","TOT","USD_CAP","A","2017",41000.995844,
"KOR","GDP","TOT","USD_CAP","A","2018",42135.780723,"P"
"LUX","GDP","TOT","USD_CAP","A","2015",103787.967646,
"LUX","GDP","TOT","USD_CAP","A","2016",110249.797049,
"LUX","GDP","TOT","USD_CAP","A","2017",112701.659716,
"LUX","GDP","TOT","USD_CAP","A","2018",116622.236253,
"MEX","GDP","TOT","USD_CAP","A","2015",18438.044081,
"MEX","GDP","TOT","USD_CAP","A","2016",19506.640994,
"MEX","GDP","TOT","USD_CAP","A","2017",20022.661214,"P"
"MEX","GDP","TOT","USD_CAP","A","2018",20659.867277,"E"
"NLD","GDP","TOT","USD_CAP","A","2015",50301.845624,
"NLD","GDP","TOT","USD_CAP","A","2016",52284.122623,
"NLD","GDP","TOT","USD_CAP","A","2017",55348.891835,"P"
"NLD","GDP","TOT","USD_CAP","A","2018",57563.957867,"P"
"NZL","GDP","TOT","USD_CAP","A","2015",37158.228941,
"NZL","GDP","TOT","USD_CAP","A","2016",39566.365389,
